patentType,applicantName,year,month,count
实用新型,王晨辉,2018,9,1
发明公开,湖南衡山汽车制造有限公司,2013,12,1
发明公开,高通股份有限公司,2016,11,1
实用新型,云晖软件(成都)有限公司,2015,3,1
发明授权,富士电机株式会社,2018,7,1
实用新型,开普洛克(苏州)材料科技有限公司,2018,9,1
发明授权,大赛璐化学工业株式会社,2008,6,1
实用新型,深圳市瑞智信环保科技有限公司,2018,7,1
实用新型,江苏国立医疗器械有限公司,2015,6,1
外观专利,夏普株式会社,2005,7,2
发明公开,北京卫星制造厂,2017,4,1
发明公开,国网山东省电力公司定陶县供电公司,2016,11,1
实用新型,厦门迈拓宝电子有限公司,2018,9,1
实用新型,深圳华明环保科技有限公司,2018,7,1
实用新型,宁波腾隆户外用品有限公司,2013,7,1
实用新型,天津鑫利达自动化科技有限公司,2018,9,1
外观专利,罗海波,2005,7,1
外观专利,李晓峰,2005,7,1
外观专利,上海嘉阳通信科技有限公司,2005,7,1
实用新型,宁波捷胜海洋开发有限公司,2014,7,1
发明公开,南京泽朗生物科技有限公司,2018,12,1
实用新型,天津滨海新区大港天港石油化工厂(普通合伙),2014,2,1
外观专利,上海和兰透平动力技术有限公司,2017,3,1
发明授权,船井电机株式会社,2008,2,1
实用新型,中国石油集团渤海钻探工程有限公司,2015,3,1
实用新型,开县人人有余科技有限公司,2014,5,1
发明公开,索尼株式会社,2012,6,1
发明公开,乔维恩电机株式会社,2002,5,1
实用新型,郑州市蔬菜研究所,2018,9,1
外观专利,重庆伊格斯机械有限公司,2017,3,1
发明公开,成都市国科泰达科技有限公司,2018,7,1
发明公开,山西三益科技有限公司,2011,1,1
实用新型,山西科达自控股份有限公司,2015,3,1
发明公开,震旦(中国)有限公司,2018,7,1
实用新型,常州市博亿工贸有限公司,2014,2,1
发明授权,宁波燎原灯具股份有限公司,2015,9,1
实用新型,重庆双扬牌电器制造有限公司,2014,5,1
发明公开,英华达股份有限公司,2003,11,1
实用新型,江苏丽人木地板有限公司,2014,2,1
发明公开,赛峰飞机发动机公司,2018,12,1
实用新型,杭州杰电电子有限公司,2015,1,1
实用新型,苏州新唯恒自动化科技有限公司,2013,3,1
外观专利,浙江伟超工具制造有限公司,2017,3,1
实用新型,杭州华三通信技术有限公司,2014,5,1
实用新型,罗斯(无锡)设备有限公司,2015,3,1
实用新型,江西舒尔美化妆用品有限公司,2018,11,1
实用新型,广东省南方环保生物科技有限公司,2018,3,1
发明公开,清远市知途自动化科技有限公司,2019,1,1
外观专利,丰顺县培英电声有限公司,2005,6,1
实用新型,西安宇清环境工程科技有限责任公司,2013,7,1
实用新型,仙桃嘉康生物科技有限公司,2018,11,1
发明公开,安徽省天瑞园生态农业科技有限公司,2016,8,1
实用新型,福建荣发石业有限公司,2015,1,1
发明公开,株式会社日立高新技术,2019,2,1
实用新型,天门市德远化工科技有限公司,2018,3,1
发明授权,广东欧珀移动通信有限公司,2018,12,1
发明公开,桂林雪芙莲日化有限公司,2014,1,1
外观专利,玉环县华龙阀门有限公司,2010,2,1
发明公开,枣庄矿业(集团)付村煤业有限公司,2018,4,1
发明公开,北京鼎汉技术股份有限公司,2012,10,1
发明公开,北京市天元网络技术股份有限公司,2011,12,1
发明公开,南京康友医疗科技有限公司,2018,12,1
实用新型,广州金升阳科技有限公司,2018,6,1
发明授权,贵州久联民爆器材发展股份有限公司,2016,6,1
发明授权,福建鑫华股份有限公司,2015,10,1
发明授权,苏德-化学公司,2014,1,1
发明授权,高通股份有限公司,2016,3,1
发明授权,神马实业股份有限公司,2017,6,1
发明授权,冲电气工业株式会社,2017,6,1
发明授权,莫伊克斯公司,2015,10,1
发明授权,东阳市双燕设备有限公司,2014,7,1
发明授权,南昌欧菲光科技有限公司,2017,10,1
外观专利,斯凯杰美国公司,2011,11,1
发明授权,济南和美华饲料有限公司,2014,7,1
发明授权,杭州百富电子技术有限公司,2014,7,1
实用新型,黄石鑫华轮毂有限公司,2015,8,1
发明授权,中冶长天国际工程有限责任公司,2014,7,1
实用新型,武汉百信环保能源科技有限公司,2015,5,1
发明授权,宇部兴产株式会社,2014,7,1
发明授权,圣戈班工业陶瓷罗登塔尔有限责任公司,2014,7,1
发明授权,三星电子株式会社,2017,6,1
发明授权,华为技术有限公司,2017,7,1
发明授权,中国石油化工股份有限公司上海石油化工研究院,2015,10,1
发明授权,国家电网公司,2017,7,1
发明授权,成都九洲电子信息系统股份有限公司,2017,9,1
发明授权,北京国网富达科技发展有限责任公司,2017,7,1
发明公开,上海宝勒特压缩机有限公司,2011,7,1
发明授权,伊利诺斯工具制品有限公司,2017,6,1
发明授权,南阳工业株式会社,2014,7,1
发明公开,南通沃特光电科技有限公司,2018,11,1
发明授权,华北电力大学,2015,10,1
发明授权,赢创戈尔德施米特有限公司,2014,8,1
发明授权,沙特阿拉伯石油公司,2015,10,1
发明授权,IHC荷兰IE有限公司,2015,10,1
发明授权,西安烽火电子科技有限责任公司,2015,10,1
发明授权,鸿富锦精密工业(深圳)有限公司,2015,9,1
发明授权,国网浙江省电力公司紧水滩水力发电厂,2019,2,1
发明授权,江苏省华建建设股份有限公司,2012,7,1
发明授权,美的集团股份有限公司,2015,10,1
发明授权,3M创新有限公司,2014,8,1
发明公开,平湖英厚机械有限公司,2016,3,1
发明授权,成都德善能科技有限公司,2017,10,1
发明授权,鸿富锦精密工业(深圳)有限公司,2018,4,1
发明授权,山东泰山体育器材有限公司,2015,10,1
发明公开,江苏光芒新能源股份有限公司,2015,11,1
发明授权,金东纸业(江苏)股份有限公司,2018,4,1
发明公开,广东威灵电机制造有限公司,2019,1,1
发明授权,宸鸿光电科技股份有限公司,2018,4,1
发明授权,韩电KPS株式会社,2012,3,1
发明授权,东莞市雅康精密机械有限公司,2015,10,1
发明授权,讯凯国际股份有限公司,2018,7,1
发明公开,欧普照明股份有限公司,2016,7,1
发明授权,苏州安特实业有限公司,2015,9,1
发明授权,英利能源(中国)有限公司,2015,9,1
发明授权,成都塑力电缆有限公司,2015,10,1
发明授权,安吉县三协竹胶板厂,2015,10,1
外观专利,上海色织二厂,2005,7,2
发明授权,青岛双瑞海洋环境工程股份有限公司,2018,4,1
发明授权,松下电器产业株式会社,2011,9,1
发明授权,新华三技术有限公司,2018,4,1
发明授权,蚌埠市金旺食品有限公司,2015,9,1
发明授权,合肥三丰种子有限公司,2015,9,1
发明授权,瀚吉康生物科技(北京)有限公司,2015,9,1
发明授权,塞夫霍兰德有限公司,2015,9,1
实用新型,青岛彩盛农业科技有限公司,2018,5,1
发明授权,合肥京东方光电科技有限公司,2018,4,1
发明授权,NTN株式会社,2017,6,1
发明授权,G.I.视频有限公司,2018,4,1
发明授权,深圳欧菲光科技股份有限公司,2017,10,1
发明授权,金川集团股份有限公司,2018,4,1
实用新型,中国水电四局(酒泉)新能源装备有限公司,2016,11,1
发明授权,安讯士有限公司,2018,4,1
发明授权,株式会社小松制作所,2015,9,1
发明授权,台湾积体电路制造股份有限公司,2014,7,1
发明公开,保龄宝生物股份有限公司,2013,8,1
发明授权,江苏神通阀门股份有限公司,2018,7,1
发明授权,道达尔炼油化学公司,2015,9,1
发明授权,深圳市泰力废旧电池回收技术有限公司,2015,9,1
发明授权,松下电器产业株式会社,2014,8,1
发明授权,江苏长青农化股份有限公司,2015,9,1
发明授权,富士施乐株式会社,2015,9,1
发明授权,小米科技有限责任公司,2018,7,1
发明授权,感知像素股份有限公司,2015,9,1
发明授权,新昌县鸿裕工业产品设计有限公司,2015,10,1
发明授权,山东水衡化工有限责任公司,2015,9,1
发明公开,明新弹性织物(中国)有限公司,2017,5,1
发明公开,江苏三元环保科技有限公司,2019,1,1
发明授权,淄博有道牧业有限公司,2015,9,1
发明授权,罗姆股份有限公司,2015,9,1
发明授权,通用电气能源能量变换技术有限公司,2017,10,1
发明授权,乔治洛德方法研究和开发液化空气有限公司,2017,5,1
发明授权,奇智软件(北京)有限公司,2015,9,1
实用新型,天津德力亚节能科技有限公司,2015,8,1
实用新型,成都秦川科技发展有限公司,2013,3,1
发明授权,大金工业株式会社,2015,9,1
发明授权,中微半导体设备(上海)有限公司,2015,9,1
发明授权,上海京新生物医药有限公司,2018,7,1
发明授权,飞利浦拉米尔德斯照明设备有限责任公司,2018,7,1
发明授权,西门子公司,2019,2,1
发明授权,达瑞创新股份有限公司,2015,10,1
发明授权,中国电信股份有限公司,2018,4,1
发明授权,ASML荷兰有限公司,2011,1,1
发明授权,鹦鹉无人机股份有限公司,2017,10,1
发明授权,中芯国际集成电路制造(上海)有限公司,2015,9,1
发明授权,上海昂林科学仪器有限公司,2018,4,1
发明公开,福州瑞芯微电子有限公司,2013,8,1
发明授权,沙特基础工业公司,2018,4,1
发明授权,广东欧珀移动通信有限公司,2016,4,1
发明授权,中国矿业大学,2018,4,1
发明授权,上海衡拓液压控制技术有限公司,2018,4,1
发明授权,中国石油化工股份有限公司,2018,4,1
发明授权,弗雷森纽斯医疗护理德国有限责任公司,2018,4,1
发明授权,罗姆株式会社,2017,6,1
发明授权,中讯邮电咨询设计院有限公司,2017,10,1
实用新型,深圳倍声声学技术有限公司,2018,6,1
发明授权,华为技术有限公司,2018,4,1
